,likes,dislikes,ld_ratio,date,genre,is_title_all_caps,views
0,11661,442,26.322799097065463,2017-11-12T15:00:02.000Z,24,False,301920
1,79891,490,162.71079429735235,2017-11-12T17:00:02.000Z,20,True,781588
2,195201,5782,33.75427978557842,2017-11-12T08:59:25.000Z,24,True,2176793
3,103809,1490,69.62374245472837,2017-11-12T15:00:03.000Z,23,False,1346062
4,7819,1084,7.2064516129032254,2017-11-12T19:00:08.000Z,24,False,114073
5,0,0,0.0,2017-11-12T00:53:02.000Z,24,False,264828
6,21314,1571,13.55852417302799,2017-11-12T18:00:01.000Z,24,False,248924
7,21864,341,63.92982456140351,2017-11-12T18:00:02.000Z,26,False,292731
8,24879,2271,10.950264084507042,2017-11-12T15:59:38.000Z,24,False,471409
9,216561,5744,37.69556135770235,2017-11-10T18:25:25.000Z,23,True,3555740
10,104,107,0.9629629629629629,2017-09-27T00:59:31.000Z,23,False,170688
11,5130,584,8.76923076923077,2017-11-12T20:16:45.000Z,22,False,451060
12,36012,561,64.07829181494662,2017-11-11T17:04:23.000Z,27,False,545122
13,9914,219,45.06363636363636,2017-11-12T18:25:11.000Z,26,False,76897
14,5967,165,35.94578313253012,2017-11-12T12:59:45.000Z,1,False,90812
15,10879,769,14.128571428571428,2017-11-12T13:00:01.000Z,26,True,419628
16,7500,86,86.20689655172414,2017-11-12T14:00:02.000Z,23,False,147187
17,3697,1037,3.5616570327552988,2017-11-12T18:42:09.000Z,28,True,79213
18,65566,3546,18.484916831124895,2017-11-13T07:30:00.000Z,24,False,993345
19,30155,2442,12.343430208759722,2017-11-12T19:39:30.000Z,24,False,179614
20,13640,476,28.59538784067086,2017-11-12T16:36:20.000Z,23,True,137496
21,15586,279,55.66428571428571,2017-11-12T15:30:00.000Z,24,False,264913
22,13150,79,164.375,2017-11-12T18:00:00.000Z,23,False,95997
23,16486,6634,2.484702336096458,2017-11-10T18:36:15.000Z,27,False,1272131
24,22840,2155,10.59369202226345,2017-11-11T20:21:32.000Z,24,False,2862601
25,6840,451,15.132743362831858,2017-11-11T23:56:50.000Z,24,False,385200
26,1309,218,5.9771689497716896,2017-11-12T17:35:42.000Z,26,True,39097
27,7962,254,31.223529411764705,2017-11-12T17:00:09.000Z,17,False,139498
28,8272,402,20.52605459057072,2017-11-12T16:00:05.000Z,20,True,167980
29,15164,168,89.72781065088758,2017-11-13T02:49:46.000Z,20,True,119122
30,23928,892,26.795072788353863,2017-11-11T22:08:25.000Z,22,False,416063
31,17661,398,44.26315789473684,2017-11-11T20:37:40.000Z,10,False,410770
32,210,84,2.4705882352941178,2017-11-03T21:59:44.000Z,10,False,8045
33,14075,239,58.645833333333336,2017-11-12T19:04:14.000Z,23,False,212102
34,29047,894,32.45474860335195,2017-11-11T15:51:12.000Z,20,True,364792
35,50054,941,53.13588110403397,2017-11-10T17:14:36.000Z,23,False,836759
36,3079,243,12.618852459016393,2017-11-13T11:33:32.000Z,25,False,23240
37,2122,357,5.927374301675978,2017-11-11T20:42:58.000Z,17,False,386206
38,3283,27,117.25,2017-11-13T11:00:23.000Z,27,False,26429
39,8252,2853,2.8913805185704273,2017-11-12T10:57:02.000Z,23,True,157821
40,3049,33,89.67647058823529,2017-11-12T19:27:44.000Z,25,True,29490
41,765727,41769,18.331984677998562,2017-11-10T17:00:03.000Z,10,False,15826458
42,11621,414,28.002409638554216,2017-11-12T17:59:40.000Z,23,False,110996
43,52570,885,59.33408577878104,2017-11-11T09:40:25.000Z,23,False,859219
44,6559,97,66.92857142857143,2017-11-12T17:11:39.000Z,10,False,155287
45,1392,98,14.06060606060606,2017-11-11T19:51:24.000Z,17,False,248118
46,18781,423,44.29481132075472,2017-11-12T15:59:17.000Z,28,False,123507
47,4,2,1.3333333333333333,2017-11-12T12:23:18.000Z,22,False,4526
48,2645,254,10.372549019607844,2017-11-11T22:35:43.000Z,17,False,418530
49,6883,129,52.94615384615385,2017-11-12T08:57:42.000Z,17,False,163746
50,467,13,33.357142857142854,2017-11-13T11:08:25.000Z,24,False,24914
51,27692,165,166.81927710843374,2017-11-12T12:52:35.000Z,23,True,296807
